1 10	67.8235294118
1 11	61.2142857143
1 12	64.4210526316
1 13	69.6
1 14	66.0
1 15	68.5625
1 16	71.2666666667
1 17	67.3
1 9	67.6875
10 10	67.5
10 11	69.375
10 12	65.347826087
10 13	68.35
10 14	71.4761904762
10 15	69.3636363636
10 16	64.9411764706
10 17	68.5263157895
10 9	69.5
11 10	67.15
11 11	68.8
11 12	67.3076923077
11 13	67.25
11 14	65.7894736842
11 15	71.0909090909
11 16	67.4210526316
11 17	69.6363636364
11 9	66.2727272727
12 10	65.7142857143
12 11	70.4444444444
12 12	71.9166666667
12 13	69.3157894737
12 14	69.4
12 15	68.0
12 16	67.9444444444
12 17	64.3181818182
12 9	68.1111111111
13 10	68.5789473684
13 11	64.4666666667
13 12	66.28
13 13	66.375
13 14	68.6842105263
13 15	68.8947368421
13 16	67.5714285714
13 17	66.0714285714
13 9	67.9523809524
14 10	66.9285714286
14 11	69.4615384615
14 12	67.2
14 13	67.8235294118
14 14	68.75
14 15	68.6818181818
14 16	67.8695652174
14 17	70.5294117647
14 9	65.6470588235
15 10	66.5555555556
15 11	69.5
15 12	67.5263157895
15 13	69.125
15 14	67.3684210526
15 15	71.1538461538
15 16	66.1666666667
15 17	67.0
15 9	66.3333333333
16 10	69.5263157895
16 11	66.7894736842
16 12	66.4444444444
16 13	67.8125
16 14	70.6666666667
16 15	66.6666666667
16 16	64.4444444444
16 17	68.0625
16 9	66.5882352941
17 10	66.0
17 11	68.8
17 12	66.6666666667
17 13	69.7894736842
17 14	64.4117647059
17 15	67.2
17 16	66.5333333333
17 17	68.96
17 9	68.0833333333
18 10	68.0
18 11	69.0
18 12	66.7333333333
18 13	65.3888888889
18 14	65.5
18 15	67.2380952381
18 16	65.5
18 17	68.5
18 9	67.8
19 10	68.125
19 11	68.7142857143
19 12	69.5454545455
19 13	70.3181818182
19 14	69.7272727273
19 15	71.0625
19 16	70.9444444444
19 17	66.0909090909
19 9	69.0
2 10	67.3636363636
2 11	67.4285714286
2 12	70.6818181818
2 13	74.0
2 14	73.5384615385
2 15	65.4444444444
2 16	67.0476190476
2 17	70.5
2 9	67.8947368421
20 10	65.375
20 11	68.8181818182
20 12	65.7272727273
20 13	68.3157894737
20 14	65.15
20 15	67.9090909091
20 16	67.1428571429
20 17	64.0769230769
20 9	66.4444444444
3 10	68.4666666667
3 11	67.9
3 12	65.7368421053
3 13	63.0909090909
3 14	67.9333333333
3 15	68.5
3 16	67.6666666667
3 17	69.1538461538
3 9	66.7
4 10	68.9375
4 11	66.5
4 12	67.2777777778
4 13	69.9090909091
4 14	69.4761904762
4 15	67.1111111111
4 16	67.2666666667
4 17	67.7142857143
4 9	67.7647058824
5 10	68.1739130435
5 11	69.4615384615
5 12	65.4
5 13	68.7826086957
5 14	68.25
5 15	65.2941176471
5 16	67.9411764706
5 17	70.0
5 9	67.5882352941
6 10	65.7058823529
6 11	68.5789473684
6 12	68.3913043478
6 13	68.7058823529
6 14	69.6111111111
6 15	67.7894736842
6 16	67.0454545455
6 17	67.7894736842
6 9	70.5
7 10	68.125
7 11	68.4545454545
7 12	67.6875
7 13	66.0
7 14	67.875
7 15	69.2
7 16	70.0769230769
7 17	69.0555555556
7 9	68.2941176471
8 10	67.3333333333
8 11	65.0
8 12	72.3076923077
8 13	70.6
8 14	68.7333333333
8 15	66.25
8 16	67.1818181818
8 17	66.9285714286
8 9	67.0769230769
9 10	65.0
9 11	65.75
9 12	69.5882352941
9 13	67.2631578947
9 14	64.8571428571
9 15	67.75
9 16	66.3333333333
9 17	65.9411764706
9 9	65.1111111111
